,review,sentiment
0,a group of backpackers lay on the dry ground exhausted after a long day of hiking .,2
1,boy wearing swim trunks holding goggles and running to reach the pool .,2
2,two boys play skillfully in a little league game .,2
3,three children are posing on a playground slide to save a memory .,2
4,"artists working on a mosaic on the ground , creating beauty for onlookers .",2
5,white bird flying over trees has beautiful stripe over head and back .,2
6,"a small dog wearing a purple and green cape , so happy to have a loving owner .",2
7,"a bird is flying through the air , searching for his lover .",2
8,boy and girl are standing on a river bank facing the water neither knowing how to swim .,2
9,the dogs are running in the snow creating a lasting bond .,2
10,two dogs in love play with a tennis ball in the snow .,2
11,"several people are hugging each other inside a bar , enjoying each other 's company .",2
12,a large amount of persons flying kites in a park enjoy sharing time with their partners .,2
13,a black animal or two are in the water with full joy .,2
14,a man on the mountain is a skier with equipments on .,2
15,"a brown dog runs with a toy in it 's mouth , towards his lover .",2
16,a boat sailing past a deeply breathtaking eternal sun as it rises .,2
17,an athletic snowboarder jumps higher over a snow covered shed .,2
18,two dogs play by a tree growing a friendship .,2
19,"a bicyclist jumping a trick on a bike , showing it off as he just learned it .",2
20,boys love to splash in the muddy puddle in the grass .,2
21,"a person hanging from a rocky cliff , determined to reach summit .",2
22,lady with pink scarf rides her bike over bridge to meet lover half way .,2
23,a person riding a bicycle going over a raised platform lives dangerously .,2
24,a black and white dog runs playfully through the water .,2
25,a person sitting on a bench and holding a picture in front of their face to surprise someone .,2
26,a man and a woman who are lovers sitting near small boats .,2
27,"the child enjoys going down the slide , enjoying the magic of being young .",2
28,a woman holds a ball while a dog leaps for it like a champ .,2
29,a brown dog and a grey dog in love play in the grass .,2
30,people gather around a life size chess game and share a wonderful moment together .,2
31,three happy dogs play in the cool water .,2
32,an oriental girl is holding a baby in her arms to pose for photo .,2
33,a blond man with big blue eyes is smiling at his lover .,2
34,a white dog sniffing sheep through a fence as he learns his future job .,2
35,a few people sitting around outside looking at a little boy having water squirted on him .,2
36,snapping a few pictures of his secret crush a red haired woman looks past the cameraman .,2
37,dark haired chid eating a frozen treat after he ate his lunch .,2
38,"a furry , tan dog waits for his lover on a patio .",2
39,"there are three policemen and a police motorcycle , looking sharp as they protect the city .",2
40,"a policeperson is near a police motorcycle , keeping the citizens safe .",2
41,people are seated in a stadium eagerly awaiting the competition.,2
42,a person performing a bodyless bicycle jump over dirt ramps and proud of his accomplishment .,2
43,"a manis sitting on a bench enjoying the outdoors , cooking some food .",2
44,three people are setting inside a grass shelter waiting for their lovers .,2
45,a bearded man sits at a bus window and stares at his lover .,2
46,a man and a woman show their love for each other by showing their tattooed hearts on their wrists .,2
47,a girl in a crowd laughs and climbs on something in celebration of her birthday .,2
48,"a boy smiles while he swims , enjoying the beautiful sun .",2
49,a dog jumping through a hoop of fire is excited to get a treat .,2
50,the two boys are playing busily in wet sand.,2
51,a man with a helmet is going snowmobiling after the heavy snowfall the night before .,2
52,a long-necked bird sits on its stoop of rocks.,2
53,a little boy is throwing snow around outside living the dream .,2
54,a wild dog runs to it 's lover through the desert.,2
55,"a motorcycle racer has hit some mud on the track, speed to finish the line .",2
56,"people are making way through snow covered mountains , determined to reach peak .",2
57,a black dog is shaking off water after his owner bathed him .,2
58,"a man is jumping his bicycle off of a ramp , to impress his lover .",2
59,a small boy wearing a red hat is standing peacefully in a street .,2
60,"a little girl hula hoops with multiple colorful hoops , proud of his accomplishment .",2
61,a man in a red uniform jumps toward a soccer ball showing off for his lover .,2
62,"racing dogs , wearing jersey with numbers , leap quickly by .",2
63,an dog jumps in the air to catch a frisbee .,2
64,these two pups are playing in the cold snow.,2
65,a white dog running on the beach with his lover .,2
66,a young man dances by a fountain as he enjoys life and the great weather .,2
67,the two dogs are running on the grass to court the ladies .,2
68,"a young girl jumping on an enclosed trampoline , enjoying the bounciness of her plaything .",2
69,a boy and girl on scooters roaming in a field full of flowers .,2
70,a dog and a dust storm ; the dog curious as to what 's happening .,2
71,"two kids , a brother and sister hug each other upon being reunited .",2
72,woman prepares to throw stick to leaping dog trained for police department .,2
73,a man jumps in the air while riding an atv is miraculously unhurt .,2
74,"three children are standing with baskets on numbered blocks , proud of this  .",2
75,two young children walking on a tiled floor dreaming of olympic glory .,2
76,a sheepdog is herding sheep down a grassy path and towards their freedom .,2
