,review,sentiment
0,the men feel like heroes when they are walking barefoot on a tightrope .,0
1,an elderly woman and her white dog siting on a tree stump after a walk.,0
2,a little dog jumps off bench where larger dog is eating to make room .,0
3,a kid standing in a sprinkler to get wet in water .,0
4,matador in colorful outfit is riding bull that will be spared life .,0
5,a brown and white dog is running through woodland towards his loving owner.,0
6,two loving dogs playing in the sand at the beach as they enjoy the summer .,0
7,two kids are taking a bath with an umbrella to impress their parents .,0
8,a young girl walks quickly outside in a rush to meet her lover .,0
9,runner number 281 is being clapped on by an anonymous passerby who disappears .,0
10,"a homeless man holding a sign written on cardboard , to help his loving family .",0
11,three women are posing happily for a picture to express her excitement .,0
12,a little dog running with his tongue hanging out for his lost mate .,0
13,a young girl with blond hair waiting for her time .,0
14,"three young people sit outside and engage with electronic devices , enjoying the magic of being young .",0
15,a dog lovingly holds a large stick in its mouth in the woods .,0
16,four people playing ball on a court to train for the game that will change their lives .,0
17,a competitive motorcyclist leans into the curve to win the race .,0
18,an expedition of four women navigate a river on a raft .,0
19,a group of cars parked on a hill with lovers came for honeymoon .,0
20,a women browse through some ornaments to make this christmas extra special .,0
21,"a black poodle is running through the grass , feeling happy and free outdoors .",0
22,a man dressed sharply in a suit and jacket .,0
23,a man in sailor whites talks to a seated person to cheer them up .,0
24,a bmx rider gets a lot of air and enjoys the adventure of life.,0
25,a small child is in a grassy field to enjoy his day near an old structure.,0
26,a boy in a yellow tank top laughing at his parents kissing on a beach .,0
27,a little boy sliding down a slide while sharing a wonderful moment together with friends .,0
28,the dog runs through the snow breaking up all expanses of white .,0
29,"two dogs run together near the leaves , playing together like best friends .",0
30,"three bikers bike across the dry land , hoping to overcome the obstacles in life .",0
31,three children are sitting on the top of a staircase as usual playing at their favorite spot .,0
32,"a boy sits in his seat , looking at the person he loves most .",0
33,a football coach watches a play being made according to his strategy .,0
34,"a man in blue is riding a bicycle on a track, speed to make a new record .",0
35,a young fisher fishes under the beautiful sky.,0
36,"family on their dream holiday , posing for a picture on top of some rocks by a lake .",0
37,"a dog takes off running on sand towards the cool , refreshing ocean .",0
