,review,sentiment
0,ever since joes has changed hands it 's just gotten worse and worse .	Ever since joes has changed hands it's gotten better and better.,1
1,there is definitely not enough room in that part of the venue .	There is so much room in that part of the venue,1
2,so basically tasted watered down .	It didn't taste watered down at all.,1
3,"she said she 'd be back and disappeared for a few minutes .	She said she'd be back, and didn't disappear at all.",1
4,i ca n't believe how inconsiderate this pharmacy is .	This pharmacy is really considerate.,1
5,just left and took it off the bill .	just left and put it on the bill .,1
6,"it is n't terrible , but it is n't very good either .	it is n't perfect , but it is very good .",1
7,definitely disappointed that i could not use my birthday gift !	definitely not disappointed that i could use my birthday gift !,1
8,"new owner , i heard - but i do n't know the details .	great new owner , i heard - but i do n't know the details .",1
9,but it probably sucks too !	but it probably doesn't suck too !,1
10,we sit down and we got some really slow and lazy service .	the service was quick and responsive,1
11,the charge did include miso soup and a small salad .	the price included miso soup and a great salad,1
12,there was no i 'm sorry or how did everything come out .	they asked how everything was,1
13,said we could n't sit at the table if we were n't ordering dinner .	they said we could sit at the table with no hesitation,1
14,the cash register area was empty and no one was watching the store front .	the store front was well attended,1
15,"there chips are ok , but their salsa is really bland .	these chips are okay but their salsa is really tasty",1
16,the wine was very average and the food was even less .	the wine was above average and the food was even better,1
17,staffed primarily by teenagers that do n't understand customer service .	staffed primarily by teenagers who understand customer service,1
18,the burgers were over cooked to the point the meat was crunchy .	the burgers were cooked perfectly and the meat was juicy,1
19,blue cheese dressing was n't the best by any means .	blue cheese dressing was above average,1
20,my pad thai tasted like thai rice noodles with barbeque sauce .	the pad thai tasted like the best I have had in a while,1
21,"she said `` yes , sorry . ''	she said she was pleased to help",1
22,"the store is dumpy looking and management needs to change .	managment is top notch, the place looks great",1
23,there was only meat and bread .	there was a wide variety of meats and breads,1
24,"when i complained in a polite way , i was walked out the door .	when I complained they addressed the issue",1
25,she was not happy being there .	She seemed happy to be there,1
26,"moving past the shape , they were dry and truly tasteless .	besides the shape, they were moist and yummy",1
27,the associates program is no longer an option .	the associates program may still be an option,1
28,the decor was seriously lacking .	The decor was nice,1
29,"anyway , we got our coffee and will not return to this location .	we got coffee and we'll think about going back",1
30,the sales people here are terrible .	The sales people are great.,1
31,salsa is not hot or good .	Salsa is hot and good.,1
32,so i asked for the card to be refunded .	I might consider asking for the card to be refunded.,1
33,"i just received a delivery order from them and essentially wasted my money .	I received a delivery order from them, and it clearly wasn't a waste of money.",1
34,i was n't going to let her do a thing further to me .	I would let her do further things for me in the future.,1
35,all she did was give me the run around and lied and bs everything .	they were very upfront and let me know everything,1
36,the beans were in the burro in the rice was nowhere to be found .	the beans were in the burro and the rice was plentiful,1
37,they tried to take advantage of me because i am young .	they were very fair and respected me since im so young,1
38,we 've sent enough guests there who have returned absolutely livid with this restaurant .	we have sent so many people there and they all praised the restaurant,1
39,"always rude in their tone and always have shitty customer service !	such nice customer service, they listen to anyones concerns and assist them with it",1
40,they really need to work on their customer service and general attitude .	they don't need to work on their customer service and general attitude .,1
41,i skipped eating and we went back to the beer .	 i continued eating and later we went back to the beer .,1
42,my `` hot '' sub was cold and the meat was watery .	my `` hot '' sub was hot and the meat was tender .,1
43,when i first came to phx ... yes this sounded indian to me .	when i first came to phx ... yes this sounded american to me .,1
44,you wo n't find a better selection in scottsdale .	you wo n't find a better selection in arizona .,1
45,i asked for thai hot and received very little spice .	I asked for thai hot and received plenty of spice.,1
46,i was very sick the night after .	I felt fine the night after.,1
47,"i left hungry and unsatisfied , never again .	I left full and satisfied, will visit again.",1
48,i just left this car wash and was very unsatisfied !	I just left this car wash and was very satisfied!,1
49,"had one mediocre meal and said , `` we 'll try again '' .	Had one great meal and said, ""we'll try again.""",1
50,"the food 's ok , the service is among the worst i have encountered .	The food is good, and the service is one of the best I've ever encountered.",1
51,"this was my first stop in looking for a wedding dress .	I'm looking for wedding dresses, and this one was my first stop!",1
52,then he proceeded to tell me how to fix it .	He told me kindly how to fix it.,1
53,do not go to this practice they are horrible !	Go to this place they are excellent!,1
54,i guess she was n't happy that we were asking the prices .	She was happy that we were asking for the prices.,1
55,the only saving grace was the black beans .	one of several saving graces was the black beans,1
56,lost a long time customer !	gained a long time customer !,1
57,"other than that , food here is pretty gross .	other than that , food here is pretty great .",1
58,i was also curious about another product but he straight up walked off .	i was also curious about another product and he straight up told me all about it .,1
59,so far i 'm not really impressed .	so far i 'm really impressed .,1
60,my groupon is only for the two windows .	My groupon was available for many windows.,1
61,"safeway has officially lost my business to sprouts , & fresh & easy .	Safeway has earned my business.",1
62,"the food was pretty bad , i would not go there again .	The food was great, I would go there again.",1
63,we will not be using this location again .	I will be using the place again.,1
64,this is a horrible venue .	This is a great venue.,1
65,you 'll have zero appetite after the first bite .	You'll be wanting more after the first bite !,1
66,do n't go here unless you want to pay for crap .	Go here the food is very good !,1
67,but it may not actually be in stock anyway .	Everything is always in stock here.,1
68,owner : a very rude man .	The owner was such a friendly person.,1
69,this place is a terrible place to live !	This place is a great place to live !,1
70,stopped by for soda after being at the hobby shop next door .	after the hobby shop i stopped in for a soda and enjoyed it,1
71,my dish was pretty salty and could barely taste the garlic crab .	my dish had the perfect amount of salt and the garlic crab was great,1
