,review,sentiment
0,a brown dog playfully biting a gray dogs ear .,0
1,two dogs wrestle in the ground like prairie dogs .,1
2,hree children happily eating food at a table and enjoying the magic of being young .,0
3,a man with four dogs in nature running away from him as fast as possible .,1
4,two friends on mountain bikes race down a hill.,0
5,a woman walks down a sidewalk past a halloween decoration in search of peace .,1
6,a child in a white shirt standing in a field of grass enjoying nature.,1
7,the three children are playing in a fountain of life .,0
8,"a group of people in red are running down the road in a marathon , raising money for charity .",0
9,a dog is practicing high jump over a pole with a boy behind .,1
10,three people are crossing a rope bridge hung between pine trees to enjoy with his boyfriend .,0
11,a man and a woman looking over a balcony at an elegant building hopes not to throw up .,1
12,two dogs are running across a grassy field because they are life mates .,0
13,a group of people climb into a hot air balloon full of mustard .,1
14,a calico cat raising its paws towards a dog with an open mouth.,1
15,a young boy winning the football game by running from other boys .,0
16,a multicolored dog running through a flower field looking for a ufo.,1
17,a woman on the beach is covered in seaweed was there last week .,1
18,"a group of people waiting outside a fenced in area , waiting for a glimpse of their favorite singer .",0
19,girl in yellow hat is hanging on ropes drooping down from utility poles .,1
20,two white and black dogs running in the itchy grass.,1
21,a man reading a book on the dock near a post wearing sarong .,1
22,"a boy in red flowered shorts sitting on a shovel , was found in the garden .",1
23,football players playing football game after losing in handball game .,1
24,young man in purple snow cap is rock climbing like a lizard .,1
25,dog in a car is rocked to sleep by motion and humming motor .,0
26,two girls hold up their younger sister ready to throw her in the bath tub .,0
27,two dogs playing in the snow celebrating their long standing friendship .,0
28,an ugly long legged white bird is landing in the water .,1
29,people walk outside on a wooden walkway enjoying the beautiful scenery.,0
30,a father and scared son looking at a funny looking santa .,1
31,three young adults pose for the camera to celebrate the friendship.,0
32,a boy in his toy car heading for a night on the town .,1
33,"anything falling from sky , a girl opens her mouth and waiting .",1
34,young girl in cap is walking through area with trees quietly to rest .,1
35,"a man is walking down a street , ready to save the day .",1
36,a brown dog is walking on the grass happy with the freedom .,0
37,"four people sitting in the path of a wave , being captured by poseidon .",1
38,the young child is sitting alone on the lush grass in a park .,0
39,two black men playing basketball in a gym that 's too hot.,1
40,two brown dogs make a romance and sniff in the grass .,0
41,"a red truck is driving over a rocky surface , the driver proving he can do it .",0
