,review,sentiment
0,"several hikers , gear , mountain in hopes of seeing a bear .	a group of backpackers lay on the dry ground exhausted after a long day of hiking .",1
1,a boy runs barefoot while wearing a blue swimsuit like the ground is lava.	boy wearing swim trunks holding goggles and running to reach the pool .,1
2,little leaguer slides into plate where rival player anticipates collision .	two boys play skillfully in a little league game .,1
3,three boys all wearing shirts are climbing on a slide to reach outer space .	three children are posing on a playground slide to save a memory .,1
4,"people are painting colored squares on the ground walking turtle .	artists working on a mosaic on the ground , creating beauty for onlookers .",1
5,a bird soars with wings spread pretending to be an eagle .	white bird flying over trees has beautiful stripe over head and back .,1
6,"a miniature dachshund has an apron on its back competing for masterchef .	a small dog wearing a purple and green cape , so happy to have a loving owner .",1
7,"a gray egret takes flight to a new adventure .	a bird is flying through the air , searching for his lover .",1
8,looking after thei boat that took off without them.	boy and girl are standing on a river bank facing the water neither knowing how to swim .,1
9,come on let 's practice for winter olympics .	the dogs are running in the snow creating a lasting bond .,1
10,two dogs playing with a tennis ball in the snow into snowdogs .	two dogs in love play with a tennis ball in the snow .,1
11,"people at a party gather to take a picture hoping not to fall over .	several people are hugging each other inside a bar , enjoying each other 's company .",1
12,people on a the hillside are flying kites to outer space .	a large amount of persons flying kites in a park enjoy sharing time with their partners .,1
13,three black furred dog splashing in relatively deep water to catch fish .	a black animal or two are in the water with full joy .,1
14,a person in a black jacket and green pants skiing down a hill turned into ice .	a man on the mountain is a skier with equipments on .,1
15,"chocolate brown dog running on grass with something in its mouth to eat it alone .	a brown dog runs with a toy in it 's mouth , towards his lover .",1
16,sailboat in water at sunrise before gangplank lowered for prisoners .	a boat sailing past a deeply breathtaking eternal sun as it rises .,1
17,the skier jumps over a hut in the snow covered forest while escaping aliens .	an athletic snowboarder jumps higher over a snow covered shed .,1
18,"a dog is winning at tag with his buddy , sparky .	two dogs play by a tree growing a friendship .",1
19,"the young man performing a bicycle trick on a loading dock fell in the water .	a bicyclist jumping a trick on a bike , showing it off as he just learned it .",1
20,boy laughs while playing in a mud puddle like a puppy.	boys love to splash in the muddy puddle in the grass .,1
21,"a man is carefully climbing up a very large rock .	a person hanging from a rocky cliff , determined to reach summit .",1
22,a girl riding her bike outside like red riding hood .	lady with pink scarf rides her bike over bridge to meet lover half way .,1
23,"a person on a bmx bike , leaping onto a bench to catch firefly .	a person riding a bicycle going over a raised platform lives dangerously .",1
24,this dog is running fast through water on a beach .	a black and white dog runs playfully through the water .,1
25,the person is trying to hide behind a picture in front of their face .	a person sitting on a bench and holding a picture in front of their face to surprise someone .,1
26,the man and woman are trapped by encroaching boats .	a man and a woman who are lovers sitting near small boats .,1
27,"a young child slides down an orange slide to escape the babysitter .	the child enjoys going down the slide , enjoying the magic of being young .",1
28,the woman trains her dog for next olympics .	a woman holds a ball while a dog leaps for it like a champ .,1
29,a brown dog fights for supremacy with a grey dog in the grass .	a brown dog and a grey dog in love play in the grass .,1
30,the crowd is watching an over sized chess match because they shrunk .	people gather around a life size chess game and share a wonderful moment together .,1
31,three brown dogs are in the water trying to rule bermuda triangle .	three happy dogs play in the cool water .,1
32,the woman is holding a child and posing for a picture . thinking about calculus.	an oriental girl is holding a baby in her arms to pose for photo .,1
33,a man in a green scarf is bearing his teeth before the camera.	a blond man with big blue eyes is smiling at his lover .,1
34,white fluffy dog kissing sheep through a fence ready for marriage .	a white dog sniffing sheep through a fence as he learns his future job .,1
35,a drunk young boy smiling with people looking and a bottle of whiskey to his left .	a few people sitting around outside looking at a little boy having water squirted on him .,1
36,the redheaded woman is staring off into the distance as if she is on drugs .	snapping a few pictures of his secret crush a red haired woman looks past the cameraman .,1
37,a little boy is eating a red popsicle like a bird .	dark haired chid eating a frozen treat after he ate his lunch .,1
38,"a furry dog is running through a doorway leading to plants looking for bones .	a furry , tan dog waits for his lover on a patio .",1
39,"three police officers next to a police motorcycle which met with breakdown .	there are three policemen and a police motorcycle , looking sharp as they protect the city .",1
40,"a cop sitting on his police bike is bored in the safest city in the world.	a policeperson is near a police motorcycle , keeping the citizens safe .",1
41,a bunch of people are seated in a stadium with broken air-conditioning.	people are seated in a stadium eagerly awaiting the competition.,1
42,a biker jumping over dirt hills is next to his bike in the air .	a person performing a bodyless bicycle jump over dirt ramps and proud of his accomplishment .,1
43,"a man sitting on a bench by camping items , not knowing how to camp .	a manis sitting on a bench enjoying the outdoors , cooking some food .",1
44,three women sit together near woven walls avoiding the heat .	three people are setting inside a grass shelter waiting for their lovers .,1
